"price","year","age_years","listed_date","mileage","make_name","model_name","trim_name","body_type","transmission","fuel_type","wheel_system","engine_disp_l","cylinders_num","engine_type_std","fleet","frame_damaged","has_accidents","fleet_unknown","frame_damaged_unknown","has_accidents_unknown","disp_missing","etype_missing"
"39439.0","2016.0","4.0","2020-08-23","45966.0","Chevrolet","Suburban","1500 LTZ 4WD","SUV / Crossover","A","Flex Fuel Vehicle","4WD","5.3","8.0","V8 FLEX FUEL VEHICLE","False","False","True","False","False","False","False","False"
"39695.0","2020.0","0.0","2020-01-25","10.0","Mazda","CX-9","Sport FWD","SUV / Crossover","A","Gasoline","FWD","2.5","4.0","I4","False","False","False","False","False","False","False","False"
"26921.0","2019.0","1.0","2020-04-29","7076.0","Chevrolet","Blazer","2LT FWD","SUV / Crossover","A","Gasoline","FWD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"26519.0","2018.0","2.0","2020-06-18","29557.0","Chevrolet","Traverse","LT Cloth FWD","SUV / Crossover","A","Gasoline","FWD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"17300.0","2014.0","6.0","2020-08-26","61161.0","Jeep","Grand Cherokee","Limited 4WD","SUV / Crossover","A","Gasoline","4WD","3.0","6.0","V6","False","False","False","False","False","False","False","False"
"16969.0","2017.0","3.0","2020-08-30","11598.0","Kia","Sorento","LX FWD","SUV / Crossover","A","Gasoline","FWD","2.4","4.0","I4","False","False","False","False","False","False","False","False"
"29800.0","2017.0","3.0","2020-08-26","24274.0","Jeep","Grand Cherokee","Trailhawk 4WD","SUV / Crossover","A","Gasoline","4WD","3.0","6.0","V6","False","False","False","False","False","False","False","False"
"53095.0","2019.0","0.0","2019-07-20","10.0","Mazda","CX-9","Signature AWD","SUV / Crossover","A","Gasoline","AWD","2.5","4.0","I4","False","False","False","False","False","False","False","False"
"39695.0","2020.0","0.0","2020-02-25","10.0","Mazda","CX-9","Sport FWD","SUV / Crossover","A","Gasoline","FWD","2.5","4.0","I4","False","False","False","False","False","False","False","False"
"24439.0","2017.0","3.0","2020-07-30","19656.0","Chevrolet","Traverse","1LT AWD","SUV / Crossover","A","Gasoline","AWD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"36000.0","2015.0","5.0","2020-09-02","43240.0","Jeep","Wrangler Unlimited","Rubicon 4WD","SUV / Crossover","A","Gasoline","4WD","3.6","6.0","V6","False","False","True","False","False","False","False","False"
